TIME,BUTTON,X,Y,Z,PRESSURE_NORMAL
120554645,1,9440,5787,0,10178
120554652,1,9440,5787,0,20876
120554660,1,9440,5787,0,22404
120554667,1,9440,5787,0,22404
120554675,1,9365,5726,0,21244
120554682,1,9340,5705,0,20172
120554690,1,9318,5686,0,20172
120554697,1,9300,5670,0,20660
120554705,1,9283,5656,0,21588
120554712,1,9266,5642,0,22260
120554720,1,9247,5626,0,22532
120554727,1,9226,5608,0,22548
120554735,1,9203,5587,0,22556
120554742,1,9178,5565,0,22556
120554750,1,9152,5542,0,22764
120554757,1,9127,5521,0,22868
120554765,1,9102,5501,0,22868
120554772,1,9077,5484,0,22876
120554780,1,9054,5470,0,22948
120554787,1,9032,5458,0,23020
120554795,1,9011,5450,0,23092
120554802,1,8990,5443,0,23236
120554810,1,8970,5439,0,23405
120554817,1,8950,5435,0,23453
120554825,1,8930,5433,0,23461
120554832,1,8909,5431,0,23565
120554840,1,8888,5430,0,23629
120554847,1,8867,5430,0,23637
120554855,1,8844,5430,0,23693
120554862,1,8821,5430,0,23709
120554870,1,8796,5430,0,23781
120554877,1,8768,5436,0,23853
120554885,1,8738,5443,0,23861
120554892,1,8707,5452,0,23933
120554900,1,8673,5463,0,23949
120554907,1,8638,5475,0,24005
120554915,1,8603,5490,0,24053
120554922,1,8567,5508,0,24061
120554930,1,8532,5529,0,24061
120554937,1,8496,5554,0,24061
120554945,1,8459,5584,0,24133
120554952,1,8423,5618,0,24141
120554960,1,8386,5656,0,24181
120554967,1,8349,5699,0,24181
120554975,1,8314,5746,0,24173
120554982,1,8280,5795,0,24173
120554990,1,8248,5844,0,24181
120554997,1,8216,5901,0,24189
120555005,1,8182,5965,0,24261
120555012,1,8154,6022,0,24269
120555020,1,8130,6073,0,24325
120555027,1,8112,6117,0,24397
120555035,1,8099,6152,0,24445
120555042,1,8086,6192,0,24453
120555050,1,8072,6237,0,24469
120555057,1,8060,6280,0,24517
120555065,1,8050,6324,0,24573
120555072,1,8041,6369,0,24573
120555080,1,8034,6416,0,24581
120555087,1,8029,6471,0,24621
120555095,1,8026,6534,0,24629
120555102,1,8024,6591,0,24629
120555110,1,8024,6642,0,24701
120555117,1,8024,6686,0,24709
120555125,1,8024,6721,0,24757
120555132,1,8027,6759,0,24757
120555140,1,8032,6800,0,24765
120555147,1,8038,6836,0,24781
120555155,1,8045,6870,0,24789
120555162,1,8053,6900,0,24805
120555170,1,8061,6929,0,24813
120555177,1,8070,6957,0,24861
120555185,1,8079,6985,0,24877
120555192,1,8090,7015,0,24933
120555200,1,8101,7047,0,24997
120555207,1,8114,7081,0,25069
120555215,1,8128,7117,0,25125
120555222,1,8143,7155,0,25189
120555230,1,8159,7194,0,25237
120555237,1,8176,7233,0,25293
120555245,1,8194,7270,0,25365
120555252,1,8213,7306,0,25373
120555260,1,8231,7339,0,25413
120555267,1,8249,7368,0,25413
120555275,1,8267,7393,0,25413
120555282,1,8284,7414,0,25405
120555290,1,8301,7431,0,25405
120555297,1,8317,7445,0,25413
120555305,1,8334,7458,0,25413
120555312,1,8353,7469,0,25413
120555320,1,8374,7481,0,25413
120555327,1,8397,7494,0,25469
120555335,1,8423,7507,0,25517
120555342,1,8451,7522,0,25589
120555350,1,8482,7537,0,25597
120555357,1,8514,7553,0,25653
120555365,1,8548,7568,0,25661
120555372,1,8582,7582,0,25669
120555380,1,8615,7596,0,25685
120555387,1,8648,7607,0,25685
120555395,1,8681,7615,0,25693
120555402,1,8712,7622,0,25693
120555410,1,8741,7625,0,25693
120555417,1,8769,7626,0,25693
120555425,1,8796,7626,0,25709
120555432,1,8821,7626,0,25709
120555440,1,8847,7626,0,25765
120555447,1,8872,7621,0,25773
120555455,1,8896,7614,0,25821
120555462,1,8921,7605,0,25829
120555470,1,8945,7594,0,25845
120555477,1,8970,7581,0,25853
120555485,1,8996,7564,0,25901
120555492,1,9023,7545,0,25909
120555500,1,9050,7521,0,25917
120555507,1,9078,7494,0,25989
120555515,1,9105,7464,0,26061
120555522,1,9130,7430,0,26061
120555530,1,9155,7393,0,26061
120555537,1,9179,7354,0,26141
120555545,1,9201,7313,0,26141
120555552,1,9222,7270,0,26141
120555560,1,9241,7227,0,26149
120555567,1,9258,7183,0,26205
120555575,1,9273,7139,0,26213
120555582,1,9287,7094,0,26285
120555590,1,9300,7049,0,26285
120555597,1,9313,6997,0,26293
120555605,1,9325,6936,0,26285
120555612,1,9337,6866,0,26293
120555620,1,9347,6793,0,26293
120555627,1,9354,6724,0,26293
120555635,1,9359,6660,0,26285
120555642,1,9363,6601,0,26285
120555650,1,9366,6542,0,26277
120555657,1,9368,6483,0,26277
120555665,1,9369,6425,0,26277
120555672,1,9371,6377,0,26317
120555680,1,9371,6338,0,26325
120555687,1,9371,6307,0,26325
120555695,1,9371,6278,0,26325
120555702,1,9371,6245,0,26325
120555710,1,9371,6208,0,26325
120555717,1,9371,6168,0,26317
120555725,1,9370,6129,0,26309
120555732,1,9366,6092,0,26309
120555740,1,9360,6058,0,26301
120555747,1,9354,6025,0,26237
120555755,1,9346,5993,0,26237
120555762,1,9338,5961,0,26245
120555770,1,9329,5929,0,26245
120555777,1,9320,5898,0,26245
120555785,1,9310,5866,0,26245
120555792,1,9301,5835,0,26253
120555800,1,9290,5805,0,26253
120555807,1,9280,5777,0,26253
120555815,1,9269,5750,0,26197
120555822,1,9259,5726,0,26189
120555830,1,9249,5704,0,26189
120555837,1,9240,5684,0,26189
120555845,1,9231,5666,0,26181
120555852,1,9221,5650,0,26181
120555860,1,9212,5634,0,26173
120555867,1,9202,5619,0,26165
120555875,1,9192,5606,0,26165
120555882,1,9182,5593,0,26069
120555890,1,9170,5580,0,26069
120555897,1,9159,5568,0,26085
120555905,1,9146,5556,0,26133
120555912,1,9132,5543,0,26133
120555920,1,9117,5530,0,26141
120555927,1,9102,5517,0,26205
120555935,1,9086,5504,0,26213
120555942,1,9071,5492,0,26213
120555950,1,9054,5481,0,26221
120555957,1,9038,5472,0,26221
120555965,1,9021,5463,0,26221
120555972,1,9004,5455,0,26221
120555980,1,8986,5448,0,26221
120555987,1,8966,5440,0,26221
120555995,1,8944,5433,0,26285
120556002,1,8920,5424,0,26285
120556010,1,8893,5415,0,26349
120556017,1,8865,5403,0,26357
120556025,1,8834,5391,0,26461
120556032,1,8800,5377,0,26525
120556040,1,8764,5362,0,26589
120556047,1,8725,5346,0,26597
120556055,1,8684,5329,0,26597
120556062,1,8640,5312,0,26605
120556070,1,8595,5294,0,26661
120556077,1,8549,5276,0,26661
120556085,1,8495,5256,0,26725
120556092,1,8432,5234,0,26757
120556100,1,8360,5210,0,26773
120556107,1,8285,5187,0,26805
120556115,1,8215,5167,0,26805
120556122,1,8151,5148,0,26805
120556130,1,8092,5133,0,26797
120556137,1,8031,5116,0,26733
120556145,1,7968,5100,0,26733
120556152,1,7903,5083,0,26741
120556160,1,7837,5066,0,26749
120556167,1,7771,5049,0,26749
120556175,1,7706,5033,0,26797
120556182,1,7639,5017,0,26797
120556190,1,7573,5001,0,26805
120556197,1,7505,4986,0,26869
120556205,1,7437,4970,0,26869
120556212,1,7368,4955,0,26829
120556220,1,7299,4939,0,26829
120556227,1,7229,4923,0,26829
120556235,1,7158,4906,0,26837
120556242,1,7085,4891,0,26845
120556250,1,7013,4875,0,26845
120556257,1,6942,4860,0,26861
120556265,1,6871,4847,0,26861
120556272,1,6801,4836,0,26877
120556280,1,6732,4827,0,26877
120556287,1,6662,4821,0,26885
120556295,1,6593,4817,0,26893
120556302,1,6525,4817,0,26893
120556310,1,6457,4817,0,26893
120556317,1,6389,4817,0,26893
120556325,1,6321,4824,0,26901
120556332,1,6253,4835,0,26901
120556340,1,6186,4850,0,26917
120556347,1,6122,4867,0,26925
120556355,1,6059,4887,0,26925
120556362,1,5999,4909,0,26941
120556370,1,5940,4932,0,26997
120556377,1,5884,4957,0,26997
120556385,1,5837,4980,0,26925
120556392,1,5800,5000,0,26917
120556400,1,5771,5017,0,26925
120556407,1,5746,5034,0,26917
120556415,1,5717,5054,0,26917
120556422,1,5685,5079,0,26909
120556430,1,5650,5109,0,26909
120556437,1,5617,5141,0,26949
120556445,1,5587,5176,0,26949
120556452,1,5559,5215,0,26949
120556460,1,5531,5266,0,26941
120556467,1,5506,5331,0,26933
120556475,1,5484,5411,0,26933
120556482,1,5470,5497,0,26933
120556490,1,5465,5577,0,26997
120556497,1,5465,5650,0,26997
120556505,1,5468,5710,0,26981
120556512,1,5477,5759,0,26981
120556520,1,5487,5798,0,26973
120556527,1,5497,5827,0,26901
120556535,1,5508,5853,0,26901
120556542,1,5522,5881,0,26901
120556550,1,5538,5911,0,26909
120556557,1,5556,5943,0,26901
120556565,1,5575,5971,0,26901
120556572,1,5595,5997,0,26901
120556580,1,5615,6021,0,26909
120556587,1,5635,6044,0,26917
120556595,1,5656,6066,0,26933
120556602,1,5676,6087,0,27013
120556610,1,5697,6107,0,27061
