TIME,BUTTON,X,Y,Z,PRESSURE_NORMAL
120528376,0,8487,9224,669,0
120528383,0,8487,9224,24,0
120528391,1,8487,9224,0,21084
120528398,1,8487,9224,0,21084
120528406,1,8487,9224,0,22356
120528413,1,8487,9224,0,22356
120528421,1,8487,9224,0,22324
120528428,1,8487,9224,0,22324
120528436,1,8487,9224,0,23100
120528443,1,8487,9229,0,23893
120528451,1,8487,9230,0,24717
120528458,1,8487,9231,0,25541
120528466,1,8487,9232,0,26157
120528473,1,8487,9232,0,26501
120528481,1,8487,9232,0,26701
120528488,1,8487,9232,0,26885
120528496,1,8487,9232,0,27085
120528503,1,8487,9232,0,27389
120528511,1,8487,9232,0,27637
120528518,1,8487,9232,0,27973
120528526,1,8487,9232,0,28182
120528533,1,8487,9232,0,28358
120528541,1,8487,9232,0,28494
120528548,1,8487,9232,0,28550
120528556,1,8487,9232,0,28670
120528563,1,8487,9232,0,28766
120528571,1,8487,9232,0,28862
120528578,1,8487,9232,0,28974
120528586,1,8487,9232,0,29102
120528593,1,8487,9232,0,29190
120528601,1,8487,9232,0,29318
120528608,1,8487,9232,0,29454
120528616,1,8487,9232,0,29574
120528623,1,8487,9232,0,29678
120528631,1,8487,9232,0,29790
120528638,1,8487,9232,0,29934
120528646,1,8487,9232,0,30006
120528653,1,8487,9232,0,30158
120528661,1,8487,9232,0,30254
120528668,1,8487,9232,0,30366
120528676,1,8487,9232,0,30414
120528683,1,8487,9232,0,30558
120528691,1,8487,9232,0,30606
120528698,1,8487,9232,0,30614
120528706,1,8487,9232,0,30670
120528713,1,8487,9232,0,30774
120528721,1,8487,9232,0,30838
120528728,1,8487,9232,0,30886
120528736,1,8487,9232,0,30982
120528743,1,8487,9232,0,31134
120528751,1,8487,9232,0,31182
120528758,1,8487,9232,0,31230
120528766,1,8487,9232,0,31366
120528773,1,8487,9232,0,31470
120528781,1,8487,9232,0,31470
120528788,1,8487,9232,0,31558
120528796,1,8487,9232,0,31614
120528803,1,8487,9232,0,31758
120528811,1,8487,9232,0,31766
120528818,1,8487,9232,0,31894
120528826,1,8487,9232,0,31910
120528833,1,8487,9232,0,32086
120528841,1,8487,9232,0,32182
120528848,1,8487,9232,0,32190
120528856,1,8487,9232,0,32246
120528863,1,8487,9232,0,32382
120528871,1,8487,9232,0,32622
120528878,1,8487,9232,0,32630
120528886,1,8487,9232,0,32767
120528893,1,8487,9232,0,32767
120528901,1,8487,9232,0,32767
120528908,1,8487,9232,0,32767
120528916,1,8487,9232,0,32767
120528923,1,8487,9232,0,32767
120528931,1,8487,9232,0,32767
120528938,1,8487,9232,0,32767
120528946,1,8487,9232,0,32767
120528953,1,8487,9232,0,32767
120528961,1,8487,9232,0,32767
120528968,1,8487,9232,0,32767
120528976,1,8487,9232,0,32767
120528983,1,8487,9232,0,32767
120528991,1,8487,9232,0,32767
120528998,1,8487,9232,0,32767
120529006,1,8487,9232,0,32767
120529013,1,8487,9232,0,32767
120529021,1,8487,9232,0,32767
120529028,1,8487,9232,0,32767
120529036,1,8487,9232,0,32767
120529043,1,8487,9232,0,32767
120529051,1,8487,9232,0,32767
120529058,1,8487,9232,0,32767
120529066,1,8487,9232,0,32767
120529073,1,8487,9232,0,32767
120529081,1,8487,9232,0,32767
120529088,1,8488,9232,0,32767
120529096,1,8489,9230,0,32767
120529103,1,8489,9229,0,32767
120529111,1,8489,9228,0,32767
120529118,1,8489,9228,0,32767
120529126,1,8489,9227,0,32767
120529133,1,8489,9226,0,32767
120529141,1,8490,9224,0,32767
120529148,1,8493,9220,0,32767
120529156,1,8498,9212,0,32767
120529163,1,8505,9199,0,32582
120529171,1,8513,9182,0,32390
120529178,1,8522,9162,0,32230
120529186,1,8531,9141,0,32134
120529193,1,8540,9119,0,32038
120529201,1,8547,9099,0,31942
120529208,1,8554,9080,0,31766
120529216,1,8560,9064,0,31598
120529223,1,8565,9051,0,31414
120529231,1,8569,9042,0,31342
120529238,1,8573,9034,0,31238
120529246,1,8576,9026,0,31174
120529253,1,8580,9017,0,31174
120529261,1,8584,9006,0,31174
120529268,1,8588,8993,0,31054
120529276,1,8591,8979,0,31054
120529283,1,8595,8963,0,31038
120529291,1,8598,8946,0,31054
120529298,1,8601,8928,0,31006
120529306,1,8603,8908,0,31006
120529313,1,8606,8888,0,31006
120529321,1,8608,8867,0,31102
120529328,1,8609,8844,0,31102
120529336,1,8611,8821,0,31110
120529343,1,8612,8798,0,31110
120529351,1,8613,8775,0,31110
120529358,1,8613,8753,0,31102
120529366,1,8613,8730,0,31102
120529373,1,8613,8708,0,31094
120529381,1,8613,8685,0,31094
120529388,1,8613,8660,0,31086
120529396,1,8613,8633,0,31078
120529403,1,8613,8604,0,31062
120529411,1,8613,8574,0,31062
120529418,1,8613,8542,0,31046
120529426,1,8610,8508,0,30974
120529433,1,8606,8472,0,30966
120529441,1,8600,8435,0,30958
120529448,1,8594,8396,0,30918
120529456,1,8587,8357,0,30918
120529463,1,8580,8317,0,30926
120529471,1,8572,8276,0,30934
120529478,1,8565,8234,0,30934
120529486,1,8556,8191,0,30982
120529493,1,8548,8148,0,30982
120529501,1,8540,8105,0,30990
120529508,1,8532,8063,0,30990
120529516,1,8525,8021,0,31022
120529523,1,8518,7981,0,31038
120529531,1,8511,7942,0,31038
120529538,1,8504,7903,0,31046
120529546,1,8496,7867,0,31046
120529553,1,8489,7832,0,31062
120529561,1,8480,7797,0,31062
120529568,1,8472,7763,0,31062
120529576,1,8462,7728,0,31102
120529583,1,8452,7691,0,31102
120529591,1,8441,7652,0,31102
120529598,1,8429,7612,0,31102
120529606,1,8417,7572,0,31094
120529613,1,8404,7531,0,31094
120529621,1,8391,7491,0,31110
120529628,1,8377,7451,0,31110
120529636,1,8362,7410,0,31110
120529643,1,8346,7368,0,31118
120529651,1,8329,7325,0,31198
120529658,1,8311,7282,0,31198
120529666,1,8294,7237,0,31198
120529673,1,8277,7191,0,31142
120529681,1,8260,7145,0,31142
120529688,1,8243,7098,0,31230
120529696,1,8226,7053,0,31230
120529703,1,8210,7009,0,31230
120529711,1,8195,6968,0,31166
120529718,1,8180,6928,0,31166
120529726,1,8166,6890,0,31158
120529733,1,8152,6854,0,31158
120529741,1,8139,6818,0,31150
120529748,1,8125,6782,0,31142
120529756,1,8110,6746,0,31142
120529763,1,8096,6709,0,31142
120529771,1,8082,6671,0,31142
120529778,1,8067,6634,0,31142
120529786,1,8053,6597,0,31150
120529793,1,8040,6561,0,31150
120529801,1,8028,6527,0,31150
120529808,1,8017,6495,0,31158
120529816,1,8007,6465,0,31174
120529823,1,7998,6437,0,31206
120529831,1,7990,6410,0,31222
120529838,1,7982,6384,0,31214
120529846,1,7975,6358,0,31222
120529853,1,7968,6333,0,31310
120529861,1,7962,6308,0,31310
120529868,1,7958,6284,0,31310
120529876,1,7954,6260,0,31302
120529883,1,7950,6235,0,31230
120529891,1,7947,6209,0,31182
120529898,1,7944,6182,0,31182
120529906,1,7941,6153,0,31174
120529913,1,7937,6123,0,31166
120529921,1,7934,6093,0,31166
120529928,1,7932,6061,0,31126
120529936,1,7930,6030,0,31126
120529943,1,7928,5998,0,31198
120529951,1,7926,5965,0,31198
120529958,1,7925,5932,0,31126
120529966,1,7925,5898,0,31126
120529973,1,7925,5862,0,31126
120529981,1,7925,5826,0,31142
120529988,1,7925,5790,0,31142
120529996,1,7925,5753,0,31142
120530003,1,7928,5715,0,31142
120530011,1,7934,5677,0,31142
120530018,1,7940,5638,0,31174
120530026,1,7946,5600,0,31174
120530033,1,7954,5561,0,31174
120530041,1,7963,5524,0,31166
120530048,1,7972,5486,0,31174
120530056,1,7981,5449,0,31174
120530063,1,7990,5413,0,31174
120530071,1,7999,5378,0,31110
120530078,1,8007,5346,0,31102
120530086,1,8015,5316,0,31094
120530093,1,8022,5289,0,31086
120530101,1,8029,5265,0,31078
120530108,1,8036,5243,0,31062
120530116,1,8044,5223,0,31062
120530123,1,8051,5204,0,31014
120530131,1,8058,5187,0,31014
120530138,1,8065,5170,0,31014
120530146,1,8072,5154,0,30966
120530153,1,8081,5137,0,30966
120530161,1,8091,5118,0,30950
120530168,1,8102,5098,0,30902
120530176,1,8114,5076,0,30902
120530183,1,8127,5054,0,30902
120530191,1,8140,5031,0,30902
120530198,1,8154,5008,0,30910
120530206,1,8167,4985,0,30910
120530213,1,8182,4963,0,30846
120530221,1,8196,4942,0,30838
120530228,1,8210,4923,0,30790
120530236,1,8223,4906,0,30782
120530243,1,8236,4892,0,30702
120530251,1,8247,4880,0,30614
120530258,1,8258,4870,0,30486
120530266,1,8269,4860,0,30390
120530273,1,8280,4852,0,30126
120530281,1,8290,4844,0,29862
120530288,1,8302,4836,0,29742
120530296,1,8314,4828,0,29534
120530303,1,8327,4821,0,29430
120530311,1,8342,4813,0,29262
120530318,1,8358,4806,0,29142
120530326,1,8376,4799,0,29054
120530333,1,8394,4793,0,28982
120530341,1,8413,4787,0,28758
120530348,1,8434,4783,0,28566
120530356,1,8454,4779,0,28398
120530363,1,8474,4777,0,28254
120530371,1,8493,4775,0,28134
120530378,1,8511,4774,0,27989
120530386,1,8529,4773,0,27893
120530393,1,8548,4773,0,27821
120530401,1,8567,4773,0,27773
120530408,1,8587,4773,0,27677
120530416,1,8609,4773,0,27629
120530423,1,8631,4773,0,27517
120530431,1,8654,4775,0,27437
120530438,1,8679,4780,0,27317
120530446,1,8703,4787,0,27149
120530453,1,8728,4796,0,27037
120530461,1,8753,4807,0,26845
120530468,1,8778,4820,0,26637
120530476,1,8803,4835,0,26565
120530483,1,8830,4855,0,26493
120530491,1,8857,4878,0,26405
120530498,1,8885,4905,0,25853
